91436,14372,46.5,6890,7482,5552,2.57,34.15,-118.49,z8z9z10
91501,20849,38.3,10040,10809,8235,2.53,34.19,-118.29,z8z9z10
91502,11371,36.4,5402,5969,5001,2.26,34.17,-118.31,z8z9z10
91504,24939,38.6,12006,12933,9180,2.69,34.2,-118.3,z8z9z10
91505,30778,38.9,15121,15657,13180,2.33,34.17,-118.34,z8z9z10
91506,18904,40.9,9115,9789,7555,2.45,34.17,-118.32,z8z9z10
91601,37180,32.9,18932,18248,15970,2.32,34.16,-118.37,z8z9z10z11
91602,17473,38,8722,8751,9277,1.88,34.15,-118.36,z8z9z10z11
91604,29034,40.2,14271,14763,14292,2.01,34.13,-118.39,z8z9z10z11
91605,56343,31.9,28417,27926,15357,3.61,34.2,-118.39,z8z9z10
91606,44958,34.3,22376,22582,14903,3,34.18,-118.39,z8z9z10
91607,27927,38.2,13635,14292,12859,2.15,34.16,-118.4,z8z9z10z11
91608,0,0,0,0,0,0,34.13,-118.35,z8z9z10z11
91702,59705,29.4,29486,30219,15455,3.67,34.17,-117.87,z8z9z10
91706,76571,30.5,37969,38602,17504,4.35,34.09,-117.96,z8z9z10
91709,74796,36.6,36954,37842,22940,3.25,33.94,-117.72,z8z9
91710,80358,33,42283,38075,21952,3.43,33.98,-117.65,z8z9
91711,35705,38.6,16777,18928,11868,2.58,34.12,-117.71,z8z9
91722,34409,34,16859,17550,10079,3.41,34.09,-117.9,z8z9z10
91723,18275,35,8783,9492,6296,2.86,34.08,-117.88,z8z9z10
91724,26184,37.9,12780,13404,8508,3.05,34.07,-117.84,z8z9z10
91731,29591,32.9,14888,14703,8007,3.66,34.08,-118.03,z8z9z10
91732,61386,31.4,30755,30631,14700,4.13,34.07,-118.01,z8z9z10
91733,43896,30.5,22191,21705,9918,4.4,34.04,-118.04,z8z9z10z11
91740,25356,38.5,12269,13087,8376,2.94,34.11,-117.85,z8z9z10
91741,25824,41.8,12498,13326,9126,2.82,34.14,-117.85,z8z9z10
91744,85040,30.9,42564,42476,18648,4.55,34.02,-117.93,z8z9z10
91745,54013,40.1,26287,27726,16188,3.33,34,-117.97,z8z9z10
91746,30485,32.4,15116,15369,6743,4.5,34.04,-117.98,z8z9z10
91748,45406,39.8,22368,23038,13311,3.4,33.97,-117.9,z8z9z10
91750,33249,42.6,15881,17368,11944,2.71,34.15,-117.76,z8z9
91754,32742,42.9,15620,17122,11193,2.92,34.05,-118.14,z8z9z10z11
91755,27496,43.4,13271,14225,8760,3.12,34.05,-118.11,z8z9z10z11
91759,476,47.2,239,237,216,2.2,34.2,-117.7,z8z9
91763,36375,30.8,18099,18276,9450,3.81,34.07,-117.7,z8z9
91765,46457,40.8,22702,23755,15039,3.08,33.99,-117.81,z8z9
91766,71599,28.7,36111,35488,17708,4.01,34.03,-117.75,z8z9
91767,48068,31.2,23685,24383,13691,3.47,34.08,-117.73,z8z9
91768,34537,27.3,17509,17028,7885,3.87,34.06,-117.79,z8z9
91770,62097,38.3,30521,31576,16588,3.7,34.06,-118.08,z8z9z10z11
91773,33119,42.5,15737,17382,11941,2.73,34.1,-117.81,z8z9
91775,23988,41.4,11448,12540,8227,2.9,34.11,-118.08,z8z9z10z11
91776,38475,39,18751,19724,11776,3.24,34.08,-118.09,z8z9z10z11
91780,34332,41.1,16438,17894,11318,3.03,34.1,-118.05,z8z9z10z11
91784,25938,44.5,12729,13209,8934,2.9,34.14,-117.65,z8z9
91786,51165,33,24516,26649,18087,2.79,34.1,-117.66,z8z9
91789,43079,42.8,20988,22091,12891,3.31,34.01,-117.85,z8z9z10
91790,44907,35.2,21721,23186,12751,3.49,34.06,-117.94,z8z9z10
91791,32414,38,15512,16902,10236,3.15,34.06,-117.89,z8z9z10
91792,30854,35.3,14950,15904,9154,3.35,34.02,-117.89,z8z9z10
91801,52735,39.1,24833,27902,19315,2.71,34.09,-118.13,z8z9z10z11
91803,30322,39.6,14486,15836,9894,3.04,34.07,-118.14,z8z9z10z11
92301,32725,25.6,16857,15868,8132,3.81,34.66,-117.51,z8
92371,16763,37.9,8565,8198,5370,3.11,34.42,-117.48,z8z9
92372,6220,41.8,3136,3084,2198,2.83,34.47,-117.62,z8z9
92397,4894,44.1,2522,2372,1998,2.45,34.36,-117.61,z8z9
92821,35533,38.7,17338,18195,13062,2.72,33.92,-117.86,z8z9z10
92823,3613,38.6,1757,1856,1154,3.13,33.92,-117.8,z8z9
92833,51767,36,25643,26124,15849,3.23,33.88,-117.96,z8z9z10
93040,2031,29.3,1052,979,522,3.89,34.43,-118.75,z8z9
93063,54366,39,26592,27774,18650,2.9,34.3,-118.72,z8z9
93225,5077,44,2585,2492,2080,2.44,34.8,-119.01,z8
93243,1699,40.9,884,815,623,2.73,34.86,-118.87,z8
93252,4176,38.4,3301,875,647,2.81,34.84,-119.27,z8
93510,7993,45.2,4086,3907,2729,2.86,34.49,-118.22,z8z9
93523,3074,27,1531,1543,1056,2.91,34.96,-117.87,
93532,2932,41.7,1642,1290,1079,2.45,34.69,-118.52,z8
93534,39341,31.1,18601,20740,14038,2.74,34.72,-118.15,z8
93535,72046,28.3,34879,37167,20672,3.44,34.69,-117.9,z8
93536,70918,34.4,37804,33114,20964,3.07,34.72,-118.48,z8
93543,13033,32.9,6695,6338,3560,3.66,34.48,-117.92,z8z9
93544,1259,52.4,689,570,569,2.2,34.49,-117.77,z8z9
93550,74929,27.5,36414,38515,20864,3.58,34.52,-118.08,z8
93551,50798,37,25056,25742,15963,3.18,34.61,-118.27,z8
93552,38158,28.4,18711,19447,9690,3.93,34.5,-118.01,z8z9
93553,2138,43.3,1121,1017,816,2.62,34.48,-117.88,z8z9
93560,18910,32.4,9491,9419,6469,2.92,34.92,-118.4,z8
93563,388,44.5,263,125,103,2.53,34.39,-117.74,z8z9
93591,7285,30.9,3653,3632,1982,3.67,34.61,-117.81,z8
